ORF Length,GC Content,Transcript Length,CpG Island,Ficket score,coding=1
147,53,464,7,1,0
156,36,573,7,1,0
144,58,913,29,1,0
123,50,508,14,1,0
138,45,1471,40,0,0
195,46,736,6,0,0
480,45,2232,37,1,0
342,39,1034,2,1,0
276,51,1446,32,1,0
165,44,1357,14,1,0
543,57,670,23,2,1
159,46,1155,9,1,0
3027,68,3236,291,1,1
126,48,881,6,0,0
213,33,1166,8,1,0
150,42,817,4,1,0
258,49,1000,36,2,0
150,45,1325,17,1,0
90,50,544,9,1,0
225,39,1177,21,1,0
60,50,338,14,0,0
2997,68,3206,290,1,1
75,38,1072,6,1,0
387,50,2682,46,0,0
192,56,2662,50,1,0
231,42,2344,19,0,0
198,52,689,21,1,0
120,47,718,4,0,0
1227,58,2294,144,1,1
123,37,532,4,0,0
195,45,692,4,1,0
435,49,3402,55,1,0
138,38,658,3,1,0
225,49,1453,23,1,0
135,54,758,11,1,0
150,43,1016,8,0,0
30,37,346,2,1,0
240,62,986,84,1,0
159,45,1107,20,0,0
318,46,2070,54,1,0
249,34,1888,13,0,0
189,39,967,5,1,0
249,42,786,9,0,0
276,52,2993,49,1,0
201,47,1871,56,1,0
219,43,719,5,0,0
417,62,1637,88,1,0
78,35,460,3,0,0
300,53,542,6,1,0
180,47,1444,30,1,0
1338,55,3098,141,0,1
177,44,2062,26,0,0
135,47,704,5,1,0
183,44,660,11,1,0
240,42,566,8,1,0
237,49,1022,34,0,0
960,55,1741,36,1,0
351,63,893,55,2,0
159,50,592,27,1,0
51,43,388,3,1,0
84,54,678,24,1,0
477,53,1366,24,0,0
75,44,522,10,1,0
213,46,562,9,0,0
960,54,2036,40,1,0
75,30,445,2,1,0
132,52,700,18,1,0
81,57,265,3,1,0
417,61,1436,72,1,0
156,41,1110,16,0,0
117,45,1334,23,1,0
417,60,1218,48,1,0
288,40,3229,31,1,0
318,38,1732,26,1,0
159,37,1112,15,1,0
282,48,845,11,0,0
93,41,853,6,1,0
189,47,596,8,1,0
75,54,435,14,0,0
276,53,1286,37,1,0
156,45,773,29,1,0
282,56,791,25,1,0
93,37,786,5,1,0
228,52,2876,51,1,0
321,36,744,8,1,0
84,34,366,2,0,0
219,49,461,8,0,0
1194,55,1899,37,1,0
180,50,830,29,1,0
45,44,574,15,1,0
267,49,758,21,1,0
225,48,1190,12,1,0
141,45,558,8,1,0
135,54,563,9,0,0
78,54,595,24,1,0
306,57,845,20,1,0
